Movie_name,Release_Year,Time_duration,Imdb_Rating,Movie_Description,Imdb_Votes,Meta_score
 The Godfather,1972,2h 55m,9.2,The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.,2100000.0,100.0
 The Silence of the Lambs,1991,1h 58m,8.6,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.",1600000.0,86.0
 Star Wars: Episode V - The Empire Strikes Back,1980,2h 4m,8.7,"After the Empire overpowers the Rebel Alliance, Luke Skywalker begins training with Jedi Master Yoda, while Darth Vader and bounty hunter Boba Fett pursue his friends across the galaxy.",1400000.0,82.0
 The Shawshank Redemption,1994,2h 22m,9.3,"A banker convicted of uxoricide forms a friendship over a quarter century with a hardened convict, while maintaining his innocence and trying to remain hopeful through simple compassion.",3000000.0,82.0
 The Shining,1980,2h 26m,8.4,"A family heads to an isolated hotel for the winter, where a sinister presence influences the father into violence. At the same time, his psychic son sees horrifying forebodings from both the past and the future.",1200000.0,68.0
 Casablanca,1942,1h 42m,8.5,A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.,629000.0,100.0
 One Flew Over the Cuckoo's Nest,1975,2h 13m,8.7,A newly admitted mental patient helps his docile companions defy the tyrannical head nurse.,1100000.0,84.0
 Raiders of the Lost Ark,1981,1h 55m,8.4,"In 1936, archaeologists and adventurers of the U.S. government hired Indiana Jones to find the Ark of the Covenant before the Nazis could obtain its extraordinary powers.",1100000.0,86.0
 The Lord of the Rings: The Return of the King,2003,3h 21m,9.0,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,2100000.0,94.0
 Star Wars: Episode IV - A New Hope,1977,2h 1m,8.6,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.",1500000.0,90.0
 The Dark Knight,2008,2h 32m,9.0,"When a menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman, James Gordon and Harvey Dent must work together to put an end to the madness.",3000000.0,84.0
 The Godfather Part II,1974,3h 22m,9.0,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",1400000.0,90.0
 Aliens,1986,2h 17m,8.4,"Decades after surviving the Nostromo incident, Ellen Ripley is sent out to re-establish contact with a terraforming colony but finds herself battling the Alien Queen and her offspring.",806000.0,84.0
 Schindler's List,1993,3h 15m,9.0,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",1500000.0,95.0
 Inception,2010,2h 28m,8.8,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.",2700000.0,74.0
 The Lord of the Rings: The Fellowship of the Ring,2001,2h 58m,8.9,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,2100000.0,92.0
 Alien,1979,1h 57m,8.5,"After investigating a mysterious transmission of unknown origin, the crew of a commercial spacecraft encounters a deadly lifeform.",1000000.0,89.0
 Some Like It Hot,1959,2h 1m,8.2,"After two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in.",294000.0,98.0
 Blade Runner,1982,1h 57m,8.1,A blade runner must pursue and terminate four replicants who stole a ship in space and have returned to Earth to find their creator.,852000.0,84.0
 Se7en,1995,2h 7m,8.6,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.",1900000.0,65.0
 Apocalypse Now,1979,2h 27m,8.4,A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.,740000.0,94.0
 12 Angry Men,1957,1h 36m,9.0,The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.,921000.0,97.0
 The Lord of the Rings: The Two Towers,2002,2h 59m,8.8,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.",1900000.0,87.0
 Terminator 2: Judgment Day,1991,2h 17m,8.6,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her ten year old son John from an even more advanced and powerful cyborg.",1200000.0,75.0
 Star Wars: Episode VI - Return of the Jedi,1983,2h 11m,8.3,"After rescuing Han Solo from Jabba the Hutt, the Rebel Alliance attempts to destroy the second Death Star while Luke struggles to help Darth Vader back from the dark side.",1200000.0,58.0
 Die Hard,1988,2h 12m,8.2,A New York City police officer tries to save his estranged wife and several others taken hostage by terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.,987000.0,72.0
 Gone with the Wind,1939,3h 58m,8.2,A sheltered and manipulative Southern belle and a roguish profiteer face off in a turbulent romance as the society around them crumbles with the end of slavery and is rebuilt during the Civil War and Reconstruction periods.,345000.0,97.0
 Taxi Driver,1976,1h 54m,8.2,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action.",975000.0,94.0
 Pulp Fiction,1994,2h 34m,8.9,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",2300000.0,95.0
 The Bridge on the River Kwai,1957,2h 41m,8.1,"British POWs are forced to build a railway bridge across the river Kwai for their Japanese captors in occupied Burma, not knowing that the allied forces are planning a daring commando raid through the jungle to destroy it.",241000.0,88.0
 The Lion King,1994,1h 28m,8.5,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.",1200000.0,88.0
 North by Northwest,1959,2h 16m,8.3,"A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies, and falls for a woman whose loyalties he begins to doubt.",360000.0,98.0
 Rear Window,1954,1h 52m,8.5,A bored photographer recovering from a broken leg passes the time by watching his neighbors and begins to suspect one of them of murder.,544000.0,100.0
 Léon: The Professional,1994,1h 50m,8.5,An Italian hit man protects a New York orphan.,1300000.0,64.0
 Back to the Future,1985,1h 56m,8.5,"Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown.",1400000.0,87.0
 Citizen Kane,1941,1h 59m,8.3,"Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance: 'Rosebud.'",480000.0,100.0
 Goodfellas,1990,2h 25m,8.7,"The story of Henry Hill and his life in the mafia, covering his relationship with his wife Karen and his mob partners Jimmy Conway and Tommy DeVito.",1300000.0,92.0
 Memento,2000,1h 53m,8.4,A former insurance investigator who now suffers from anterograde amnesia uses notes and tattoos to hunt down his wife's murderer.,1400000.0,83.0
 American Beauty,1999,2h 2m,8.3,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.,1200000.0,84.0
 As Good as It Gets,1997,2h 19m,7.7,"A single mother and waitress, a misanthropic author, and a gay artist form an unlikely friendship after the artist is assaulted in a robbery.",328000.0,67.0
 Forrest Gump,1994,2h 22m,8.8,"The history of the United States from the 1950s to the '70s unfolds from the perspective of an Alabama man with an IQ of 75, who yearns to be reunited with his childhood sweetheart.",2400000.0,82.0
 Singin' in the Rain,1952,1h 43m,8.3,A silent film star falls for a chorus girl just as he and his delusionally jealous screen partner are trying to make the difficult transition to talking pictures in 1920s Hollywood.,272000.0,99.0
 Braveheart,1995,2h 58m,8.3,Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.,1100000.0,68.0
 Saving Private Ryan,1998,2h 49m,8.6,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.",1600000.0,91.0
 Rain Man,1988,2h 13m,8.0,"After a selfish L.A. yuppie learns his estranged father left a fortune to an autistic-savant brother in Ohio that he didn't know existed, he absconds with his brother and sets out across the country, hoping to gain a larger inheritance.",563000.0,65.0
 The King's Speech,2010,1h 58m,8.0,"The story of King George VI, his unexpected ascension to the throne of the British Empire in 1936, and the speech therapist who helped the unsure monarch overcome his stammer.",721000.0,88.0
 2001: A Space Odyssey,1968,2h 29m,8.3,"When a mysterious artifact is uncovered on the Moon, a spacecraft manned by two humans and one supercomputer is sent to Jupiter to find its origins.",751000.0,84.0
 Kill Bill: Vol,2003,1h 51m,8.2,"After waking from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.",1200000.0,69.0
 Avanti!,1972,2h 24m,7.2,A successful businessman goes to Italy to arrange for the return of his tycoon father's body--and discovers that Dad died with his long-time mistress.,12000.0,90.0
" The Good, the Bad and the Ugly",1966,2h 58m,8.8,A bounty-hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,850000.0,70.0
 Amélie,2001,2h 2m,8.3,"Despite being caught in her imaginative world, young waitress Amelie decides to help people find happiness. Her quest to spread joy leads her on a journey during which she finds true love.",816000.0,96.0
 Modern Times,1936,1h 27m,8.5,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,272000.0,91.0
 Lost in Translation,2003,1h 42m,7.7,A fading movie star falls for a lonely young woman in Tokyo.,510000.0,78.0
 Full Metal Jacket,1987,1h 56m,8.2,A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.,819000.0,71.0
 Requiem for a Dream,2000,1h 42m,8.3,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.,936000.0,67.0
 Fight Club,1999,2h 19m,8.8,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.,2500000.0,92.0
 No Country for Old Men,2007,2h 2m,8.2,Violence and mayhem ensue after a hunter stumbles upon the aftermath of a drug deal gone wrong and over two million dollars in cash near the Rio Grande.,1100000.0,81.0
 Django Unchained,2012,2h 45m,8.5,"With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation owner in Mississippi.",1800000.0,84.0
 Children of Men,2006,1h 49m,7.9,"In 2027, in a chaotic world in which women have somehow become infertile, a former activist agrees to help transport a miraculously pregnant woman to a sanctuary at sea.",546000.0,96.0
 Ratatouille,2007,1h 51m,8.1,A rat who can cook makes an unusual alliance with a young kitchen worker at a famous Paris restaurant.,881000.0,89.0
 The Lives of Others,2006,2h 17m,8.4,"In 1984 East Berlin, an agent of the secret police conducting surveillance on a writer and his lover finds himself becoming increasingly absorbed by their lives.",426000.0,66.0
 The Prestige,2006,2h 10m,8.5,Rival 19th-century magicians engage in a bitter battle for trade secrets.,1500000.0,62.0
 V for Vendetta,2005,2h 12m,8.1,"In a future British dystopian society, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow the tyrannical government - with the help of a young woman.",1200000.0,92.0
 Chinatown,1974,2h 10m,8.1,"A private detective hired to expose an adulterer in 1930s Los Angeles finds himself caught up in a web of deceit, corruption, and murder.",364000.0,79.0
 City of God,2002,2h 10m,8.6,"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.",835000.0,90.0
 To Have and Have Not,1944,1h 40m,7.8,"During World War II, an American expatriate helps transport a French Resistance leader and his wife to Martinique while romancing a lounge singer.",40000.0,88.0
 Fargo,1996,1h 38m,8.1,Minnesota car salesman Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.,754000.0,79.0
 Life of Pi,2012,2h 7m,7.9,"A young man who survives a disaster at sea is hurtled into an epic journey of adventure and discovery. While cast away, he forms an unexpected connection with another survivor: a fearsome Bengal tiger.",684000.0,84.0
 Slumdog Millionaire,2008,2h,8.0,"When a teenager from the slums of Mumbai is interrogated about his suspicious performance on a quiz show, he revisits various events from his past to explain how he knew all the answers.",894000.0,100.0
 Vertigo,1958,2h 8m,8.3,"A former San Francisco police detective juggles wrestling with his personal demons and becoming obsessed with the hauntingly beautiful woman he has been hired to trail, who may be deeply disturbed.",444000.0,83.0
 Trainspotting,1996,1h 33m,8.1,"Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out despite the allure of drugs and the influence of friends.",748000.0,74.0
 Interstellar,2014,2h 49m,8.7,"When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans.",2300000.0,57.0
 The Thing,1982,1h 49m,8.2,A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.,496000.0,97.0
 The Third Man,1949,1h 44m,8.1,"Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime.",189000.0,75.0
 12 Monkeys,1995,2h 9m,8.0,"In a future world devastated by disease, a convict is sent back in time to gather information about the man-made virus that wiped out most of the human population on the planet.",663000.0,58.0
 Life Is Beautiful,1997,1h 56m,8.6,"When an open-minded Jewish waiter and his son become victims of the Holocaust, he uses a perfect mixture of will, humor and imagination to protect his son from the dangers around their camp.",776000.0,85.0
 The Pianist,2002,2h 30m,8.5,"During WWII, acclaimed Polish musician Wladyslaw faces various struggles as he loses contact with his family. As the situation worsens, he hides in the ruins of Warsaw in order to survive.",965000.0,78.0
 Magnolia,1999,3h 8m,8.0,"An epic mosaic of interrelated characters in search of love, forgiveness and meaning in the San Fernando Valley.",337000.0,78.0
 The Dark Knight Rises,2012,2h 44m,8.4,"Bane, an imposing terrorist, attacks Gotham City and disrupts its eight-year-long period of peace. This forces Bruce Wayne to come out of hiding and don the cape and cowl of Batman again.",1900000.0,80.0
 Star Wars: Episode VII - The Force Awakens,2015,2h 18m,7.8,"As a new threat to the galaxy rises, Rey, a desert scavenger, and Finn, an ex-stormtrooper, must join Han Solo and Chewbacca to search for the one hope of restoring peace.",997000.0,66.0
 The Hobbit: The Desolation of Smaug,2013,2h 41m,7.8,"The dwarves, along with Bilbo Baggins and Gandalf the Grey, continue their quest to reclaim the Lonely Mountain, their homeland, from the dragon Smaug.",730000.0,90.0
 Mad Max: Fury Road,2015,2h,8.1,"In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshipper and a drifter named Max.",1200000.0,96.0
 12 Years a Slave,2013,2h 14m,8.1,"In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery.",763000.0,65.0
 Indiana Jones and the Last Crusade,1989,2h 7m,8.2,"In 1938, after his father goes missing while pursuing the Holy Grail, Indiana Jones finds himself up against the Nazis again to stop them from obtaining its powers.",836000.0,69.0
" O Brother, Where Art Thou?",2000,1h 47m,7.7,"In the deep south during the 1930s, three escaped convicts search for hidden treasure while a relentless lawman pursues them.",341000.0,69.0
 Inglourious Basterds,2009,2h 33m,8.4,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.",1700000.0,85.0
 The Departed,2006,2h 31m,8.5,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,1500000.0,72.0
 A Beautiful Mind,2001,2h 15m,8.2,"A mathematical genius, John Nash made an astonishing discovery early in his career and stood on the brink of international acclaim. But the handsome and arrogant Nash soon found himself on a harrowing journey of self-discovery.",1000000.0,81.0
 District 9,2009,1h 52m,7.9,"In a future Earth in which aliens are isolated in a remote ghetto, a government agent finds himself banished there.",734000.0,89.0
 The Piano,1993,2h 1m,7.5,"In the mid-19th century a mute woman is sent to New Zealand along with her young daughter and prized piano for an arranged marriage to a farmer, but is soon lusted after by a farm worker.",98000.0,84.0
 Mystic River,2003,2h 18m,7.9,"The tragic murder of a 19-year-old girl reunites three childhood friends still living in Boston--the victim's gangster father, a detective, and the disturbed man they both suspect of killing her.",503000.0,85.0
 The Insider,1999,2h 37m,7.8,A research chemist comes under personal and professional attack when he decides to appear in a 60 Minutes exposé on Big Tobacco.,186000.0,91.0
 L,1997,2h 18m,8.2,"As corruption grows in 1950s Los Angeles, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice.",639000.0,76.0
 Heat,1995,2h 50m,8.3,A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a verbal clue at their latest heist.,754000.0,76.0
 The Usual Suspects,1995,1h 46m,8.5,The sole survivor of a pier shoot-out tells the story of how a notorious criminal influenced the events that began with five criminals meeting in a seemingly random police lineup.,1200000.0,92.0
 Cool Hand Luke,1967,2h 7m,8.0,"A laid-back Southern man is sentenced to two years in a rural prison, but refuses to conform.",194000.0,89.0
 Eternal Sunshine of the Spotless Mind,2004,1h 48m,8.3,"When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories forever.",1100000.0,99.0
 City Lights,1931,1h 27m,8.5,"With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.",206000.0,73.0
 The Matrix,1999,2h 16m,8.7,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.",2100000.0,74.0
 Sin City,2005,2h 4m,8.0,"An exploration of the dark and miserable Basin City and three of its residents, all of whom are caught up in violent corruption.",806000.0,75.0
 Misery,1990,1h 47m,7.8,"After a famous author is rescued from a car crash by a fan of his novels, he comes to realize that the care he is receiving is only the beginning of a nightmare of captivity and abuse.",249000.0,73.0
