Movie_name,Release_Year,Time_duration,Imdb_Rating,Imdb_votes,Meta_score,movie_type,Director,Actors,Movie_Description
 The Godfather,1972,2h 55m,9.2,2100000.0,100.0,R,Francis Ford Coppola,Marlon BrandoAl PacinoJames Caan,The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.
 The Silence of the Lambs,1991,1h 58m,8.6,1600000.0,86.0,R,Jonathan Demme,Jodie FosterAnthony HopkinsScott Glenn,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims."
 Star Wars: Episode V - The Empire Strikes Back,1980,2h 4m,8.7,1400000.0,82.0,PG,Irvin Kershner,Mark HamillHarrison FordCarrie Fisher,"After the Empire overpowers the Rebel Alliance, Luke Skywalker begins training with Jedi Master Yoda, while Darth Vader and bounty hunter Boba Fett pursue his friends across the galaxy."
 The Shawshank Redemption,1994,2h 22m,9.3,3000000.0,82.0,R,Frank Darabont,Tim RobbinsMorgan FreemanBob Gunton,"A banker convicted of uxoricide forms a friendship over a quarter century with a hardened convict, while maintaining his innocence and trying to remain hopeful through simple compassion."
 The Shining,1980,2h 26m,8.4,1200000.0,68.0,R,Stanley Kubrick,Jack NicholsonShelley DuvallDanny Lloyd,"A family heads to an isolated hotel for the winter, where a sinister presence influences the father into violence. At the same time, his psychic son sees horrifying forebodings from both the past and the future."
 Casablanca,1942,1h 42m,8.5,630000.0,100.0,PG,Michael Curtiz,Humphrey BogartIngrid BergmanPaul Henreid,A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.
 One Flew Over the Cuckoo's Nest,1975,2h 13m,8.7,1100000.0,84.0,R,Milos Forman,Jack NicholsonLouise FletcherMichael Berryman,A newly admitted mental patient helps his docile companions defy the tyrannical head nurse.
 Raiders of the Lost Ark,1981,1h 55m,8.4,1100000.0,86.0,PG,Steven Spielberg,Harrison FordKaren AllenPaul Freeman,"In 1936, archaeologists and adventurers of the U.S. government hired Indiana Jones to find the Ark of the Covenant before the Nazis could obtain its extraordinary powers."
 The Lord of the Rings: The Return of the King,2003,3h 21m,9.0,2100000.0,94.0,PG-13,Peter Jackson,Elijah WoodViggo MortensenIan McKellen,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.
 Star Wars: Episode IV - A New Hope,1977,2h 1m,8.6,1500000.0,90.0,PG,George Lucas,Mark HamillHarrison FordCarrie Fisher,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader."
 The Dark Knight,2008,2h 32m,9.0,3000000.0,84.0,PG-13,Christopher Nolan,Christian BaleHeath LedgerAaron Eckhart,"When a menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman, James Gordon and Harvey Dent must work together to put an end to the madness."
 The Godfather Part II,1974,3h 22m,9.0,1400000.0,90.0,R,Francis Ford Coppola,Al PacinoRobert De NiroRobert Duvall,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate."
 Aliens,1986,2h 17m,8.4,807000.0,84.0,R,James Cameron,Sigourney WeaverMichael BiehnCarrie Henn,"Decades after surviving the Nostromo incident, Ellen Ripley is sent out to re-establish contact with a terraforming colony but finds herself battling the Alien Queen and her offspring."
 Schindler's List,1993,3h 15m,9.0,1500000.0,95.0,R,Steven Spielberg,Liam NeesonRalph FiennesBen Kingsley,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis."
 Inception,2010,2h 28m,8.8,2700000.0,74.0,PG-13,Christopher Nolan,Leonardo DiCaprioJoseph Gordon-LevittElliot Page,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster."
 The Lord of the Rings: The Fellowship of the Ring,2001,2h 58m,8.9,2100000.0,92.0,PG-13,Peter Jackson,Elijah WoodIan McKellenOrlando Bloom,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.
 Alien,1979,1h 57m,8.5,1000000.0,89.0,R,Ridley Scott,Sigourney WeaverTom SkerrittJohn Hurt,"After investigating a mysterious transmission of unknown origin, the crew of a commercial spacecraft encounters a deadly lifeform."
 Some Like It Hot,1959,2h 1m,8.2,295000.0,98.0,Approved,Billy Wilder,Marilyn MonroeTony CurtisJack Lemmon,"After two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in."
 Blade Runner,1982,1h 57m,8.1,853000.0,84.0,R,Ridley Scott,Harrison FordRutger HauerSean Young,A blade runner must pursue and terminate four replicants who stole a ship in space and have returned to Earth to find their creator.
 Se7en,1995,2h 7m,8.6,1900000.0,65.0,R,David Fincher,Morgan FreemanBrad PittKevin Spacey,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives."
 Apocalypse Now,1979,2h 27m,8.4,741000.0,94.0,R,Francis Ford Coppola,Martin SheenMarlon BrandoRobert Duvall,A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.
